2025-04-02 $H:47:23 | ERROR | 500 Internal Server Error | server-node-2
2025-04-02 $H:47:23 | WARN | Memory usage high | server-node-3
2025-04-02 $H:47:23 | WARN | Response time slow | server-node-3
2025-04-02 $H:47:23 | ERROR | 503 Service Unavailable | server-node-3
2025-04-02 $H:47:23 | ERROR | 503 Service Unavailable | server-node-2
2025-04-02 $H:47:23 | ERROR | 500 Internal Server Error | server-node-2
2025-04-02 $H:47:23 | WARN | Response time slow | server-node-2
2025-04-02 $H:47:23 | WARN | Memory usage high | server-node-3
2025-04-02 $H:47:23 | ERROR | 500 Internal Server Error | server-node-2
2025-04-02 $H:47:23 | INFO | File uploaded | server-node-1
2025-04-02 $H:47:23 | WARN | Response time slow | server-node-1
2025-04-02 $H:47:23 | ERROR | 500 Internal Server Error | server-node-2
2025-04-02 $H:47:23 | WARN | Disk usage 85% | server-node-2
2025-04-02 $H:47:23 | ERROR | 503 Service Unavailable | server-node-1
