2025-04-02 $H:45:17 | INFO | File uploaded | server-node-2
2025-04-02 $H:45:17 | ERROR | 500 Internal Server Error | server-node-3
2025-04-02 $H:45:17 | WARN | Memory usage high | server-node-2
2025-04-02 $H:45:17 | ERROR | 503 Service Unavailable | server-node-2
2025-04-02 $H:45:17 | WARN | Response time slow | server-node-3
2025-04-02 $H:45:17 | WARN | Memory usage high | server-node-3
2025-04-02 $H:45:17 | INFO | File uploaded | server-node-3
2025-04-02 $H:45:17 | WARN | Memory usage high | server-node-1
2025-04-02 $H:45:17 | ERROR | 503 Service Unavailable | server-node-3
2025-04-02 $H:45:17 | ERROR | Connection timeout | server-node-2
2025-04-02 $H:45:17 | WARN | Response time slow | server-node-3
2025-04-02 $H:45:17 | INFO | File uploaded | server-node-3
2025-04-02 $H:45:17 | WARN | Disk usage 85% | server-node-3
2025-04-02 $H:45:17 | WARN | Response time slow | server-node-3
2025-04-02 $H:45:17 | ERROR | Connection timeout | server-node-3
